NOME_MUNICIPIO,Total
ADAMANTINA,45
ADOLFO,6
AGUAI,48
AGUAS DA PRATA,3
AGUAS DE LINDOIA,26
AGUAS DE SANTA BARBARA,13
AGUAS DE SAO PEDRO,9
AGUDOS,55
ALAMBARI,7
ALFREDO MARCONDES,5
ALTAIR,2
ALTINOPOLIS,27
ALTO ALEGRE,2
ALUMINIO,38
ALVARES FLORENCE,5
ALVARES MACHADO,31
ALVARO DE CARVALHO,4
ALVINLANDIA,2
AMERICANA,1072
AMERICO BRASILIENSE,67
AMERICO DE CAMPOS,1
AMPARO,122
ANALANDIA,9
ANDRADINA,122
ANGATUBA,23
ANHEMBI,4
ANHUMAS,1
APARECIDA,199
APARECIDA D OESTE,3
APIAI,37
ARACARIGUAMA,83
ARACATUBA,555
ARACOIABA DA SERRA,87
ARAMINA,17
ARANDU,4
ARARAQUARA,714
ARARAS,383
ARCO-IRIS,1
AREALVA,11
AREIAS,2
AREIOPOLIS,8
ARIRANHA,3
ARTUR NOGUEIRA,182
ARUJA,402
ASPASIA,2
ASSIS,272
ATIBAIA,492
AURIFLAMA,17
AVAI,5
AVANHANDAVA,17
AVARE,212
BADY BASSITT,29
BALBINOS,3
BALSAMO,17
BANANAL,6
BARAO DE ANTONINA,3
BARBOSA,10
BARIRI,76
BARRA BONITA,68
BARRA DO CHAPEU,3
BARRA DO TURVO,22
BARRETOS,829
BARRINHA,55
BARUERI,1644
BASTOS,21
BATATAIS,112
BAURU,1442
BEBEDOURO,218
BENTO DE ABREU,5
BERNARDINO DE CAMPOS,21
BERTIOGA,589
BILAC,6
BIRIGUI,266
BIRITIBA-MIRIM,38
BOA ESPERANCA DO SUL,21
BOCAINA,9
BOFETE,10
BOITUVA,389
BOM JESUS DOS PERDOES,39
BOM SUCESSO DE ITARARE,5
BORACEIA,2
BORBOREMA,19
BOREBI,7
BOTUCATU,396
BRAGANCA PAULISTA,708
BRAUNA,3
BREJO ALEGRE,3
BRODOWSKI,55
BROTAS,33
BURI,37
BURITAMA,16
BURITIZAL,9
CABRALIA PAULISTA,5
CABREUVA,93
CACAPAVA,302
CACHOEIRA PAULISTA,42
CACONDE,24
CAFELANDIA,18
CAIABU,2
CAIEIRAS,302
CAIUA,1
CAJAMAR,532
CAJATI,74
CAJOBI,13
CAJURU,38
CAMPINA MONTE ALEGRE,9
CAMPINAS,9071
CAMPO LIMPO PAULISTA,290
CAMPOS DO JORDAO,192
CAMPOS NOVOS PAULISTA,10
CANANEIA,40
CANAS,11
CANDIDO MOTA,46
CANITAR,8
CAPAO BONITO,105
CAPELA DO ALTO,31
CAPIVARI,85
CARAGUATATUBA,719
CARAPICUIBA,2684
CARDOSO,17
CASA BRANCA,48
CASSIA DOS COQUEIROS,1
CASTILHO,29
CATANDUVA,224
CATIGUA,6
CEDRAL,31
CERQUEIRA CESAR,35
CERQUILHO,89
CESARIO LANGE,23
CHARQUEADA,24
CHAVANTES,20
CLEMENTINA,15
COLINA,25
COLOMBIA,16
CONCEICAO ALAGOAS,1
CONCHAL,57
CONCHAS,29
CORDEIROPOLIS,52
COROADOS,7
CORONEL MACEDO,4
CORUMBATAI,6
COSMOPOLIS,174
COSMORAMA,8
COTIA,1503
CRAVINHOS,70
CRISTAIS PAULISTA,24
CRUZALIA,2
CRUZEIRO,201
CUBATAO,578
CUNHA,14
DESCALVADO,62
DIADEMA,4390
DIRCE REIS,1
DIVINOLANDIA,9
DOBRADA,6
DOIS CORREGOS,44
DOLCINOPOLIS,1
DOURADO,13
DRACENA,91
DUARTINA,13
DUMONT,16
ECHAPORA,5
ELDORADO,12
ELIAS FAUSTO,28
ELISIARIO,2
EMBAUBA,1
EMBU DAS ARTES,1693
EMBU-GUACU,268
ENGENHEIRO COELHO,29
ESPIRITO S.DO TURVO,2
ESPIRITO STO. PINHAL,68
ESTIVA GERBI,21
ESTRELA D OESTE,20
ESTRELA DO NORTE,2
EUCLIDES DA CUNHA PTA,5
FARTURA,48
FERNANDO PRESTES,7
FERNANDOPOLIS,162
FERNAO,2
FERRAZ DE VASCONCELOS,1560
FLOREAL,1
FLORIDA PAULISTA,7
FLORINIA,6
FRANCA,1261
FRANCISCO MORATO,866
FRANCO DA ROCHA,541
GALIA,8
GARCA,84
GASTAO VIDIGAL,3
GAVIAO PEIXOTO,12
GENERAL SALGADO,15
GETULINA,10
GLICERIO,17
GUAICARA,18
GUAIMBE,9
GUAIRA,61
GUAPIACU,28
GUAPIARA,9
GUARA,58
GUARACAI,9
GUARACI,17
GUARANTA,7
GUARARAPES,41
GUARAREMA,94
GUARATINGUETA,309
GUAREI,12
GUARIBA,99
GUARUJA,2714
GUARULHOS,8829
GUATAPARA,14
GUZOLANDIA,5
HERCULANDIA,5
HOLAMBRA,20
HORTOLANDIA,1336
IACANGA,22
IACRI,6
IARAS,4
IBATE,51
IBIRA,17
IBIRAREMA,11
IBITINGA,176
IBIUNA,193
ICEM,11
IEPE,10
IGARACU DO TIETE,51
IGARAPAVA,59
IGARATA,35
