NOME_MUNICIPIO,2017,2018,2019,2020,2021,2022,2023,2024
Adamantina,57,43,41,28,37,51,45,37
Adolfo,5,13,8,5,9,2,6,4
Aguaí,90,63,73,36,57,51,48,44
Águas da Prata,8,5,9,6,0,6,3,10
Águas de Lindóia,33,40,30,9,6,17,26,23
Águas de Santa Bárbara,21,11,8,1,4,10,13,10
Águas de São Pedro,1,0,5,7,3,0,9,5
Agudos,142,90,90,25,42,43,55,63
Alambari,7,9,8,6,5,8,7,9
Alfredo Marcondes,2,6,3,3,1,0,5,8
Altair,11,5,4,6,5,3,2,0
Altinópolis,32,27,31,11,13,18,27,20
Alto Alegre,1,2,6,0,1,2,2,0
Alumínio,40,39,52,28,12,24,38,29
Álvares Florence,1,6,1,2,0,0,5,3
Álvares Machado,42,42,25,17,12,13,31,34
Álvaro de Carvalho,8,4,4,8,2,4,4,5
Alvinlândia,5,4,4,1,2,2,2,3
Americana,932,815,865,353,212,429,1072,802
Américo Brasiliense,106,89,98,58,40,63,67,47
Américo de Campos,11,17,7,5,1,10,1,4
Amparo,138,144,125,55,51,70,122,117
Analândia,14,9,11,8,8,11,9,9
Andradina,175,223,175,160,134,107,122,112
Angatuba,53,38,40,34,26,31,23,18
Anhembi,5,5,2,2,2,0,4,12
Anhumas,5,4,2,3,3,1,1,6
Aparecida,252,145,176,100,117,75,199,207
Aparecida d'Oeste,6,7,6,1,2,5,3,4
Apiaí,82,80,82,61,34,36,37,29
Araçariguama,87,57,68,35,50,60,83,72
Araçatuba,787,651,736,422,427,403,555,545
Araçoiaba da Serra,68,80,49,40,38,46,87,67
Aramina,17,12,5,8,9,11,17,10
Arandu,9,6,3,5,3,3,4,4
Arapeí,2,2,1,0,1,1,0,0
Araraquara,837,624,612,314,339,376,714,706
Araras,388,331,295,152,113,217,383,356
Arco-Íris,1,0,0,1,2,0,1,3
Arealva,11,14,11,2,8,12,11,8
Areias,1,2,3,0,2,2,2,2
Areiópolis,21,12,10,2,7,9,8,17
Ariranha,7,8,11,10,6,14,3,6
Artur Nogueira,178,177,179,110,99,113,182,136
Arujá,365,355,366,183,165,278,402,422
Aspásia,0,0,0,1,1,0,2,1
Assis,363,287,228,161,167,169,272,265
Atibaia,595,552,483,259,182,233,492,431
Auriflama,24,24,26,18,11,15,17,12
Avaí,3,6,7,2,5,2,5,5
Avanhandava,12,18,13,14,7,13,17,23
Avaré,340,273,340,74,73,121,212,234
Bady Bassitt,30,50,50,26,25,19,29,24
Balbinos,2,1,2,0,1,1,3,1
Bálsamo,20,28,17,10,10,13,17,28
Bananal,8,7,10,6,4,3,6,15
Barão de Antonina,4,0,1,1,1,0,3,0
Barbosa,15,17,16,13,15,10,10,14
Bariri,98,101,86,56,43,44,76,43
