NM_MUN,ROUBOS
Adamantina,45
Adolfo,6
Aguaí,48
Águas da Prata,3
Águas de Lindóia,26
Águas de Santa Bárbara,13
Águas de São Pedro,9
Agudos,55
Alambari,7
Alfredo Marcondes,5
Altair,2
Altinópolis,27
Alto Alegre,2
Alumínio,38
Álvares Florence,5
Álvares Machado,31
Álvaro de Carvalho,4
Alvinlândia,2
Americana,1072
Américo Brasiliense,67
Américo de Campos,1
Amparo,122
Analândia,9
Andradina,122
Angatuba,23
Anhembi,4
Anhumas,1
Aparecida,199
Aparecida d'Oeste,3
Apiaí,37
Araçariguama,83
Araçatuba,555
Araçoiaba da Serra,87
Aramina,17
Arandu,4
Araraquara,714
Araras,383
Arco-Íris,1
Arealva,11
Areias,2
Areiópolis,8
Ariranha,3
Artur Nogueira,182
Arujá,402
Aspásia,2
Assis,272
Atibaia,492
Auriflama,17
Avaí,5
Avanhandava,17
Avaré,212
Bady Bassitt,29
Balbinos,3
Bálsamo,17
Bananal,6
Barão de Antonina,3
Barbosa,10
Bariri,76
Barra Bonita,68
Barra do Chapéu,3
Barra do Turvo,22
Barretos,829
Barrinha,55
Barueri,1644
Bastos,21
Batatais,112
Bauru,1442
Bebedouro,218
Bento de Abreu,5
Bernardino de Campos,21
Bertioga,589
Bilac,6
Birigui,266
Biritiba-Mirim,38
Boa Esperança do Sul,21
Bocaina,9
Bofete,10
Boituva,389
Bom Jesus dos Perdões,39
Bom Sucesso de Itararé,5
Boracéia,2
Borborema,19
Borebi,7
Botucatu,396
Bragança Paulista,708
Braúna,3
Brejo Alegre,3
Brodowski,55
Brotas,33
Buri,37
Buritama,16
Buritizal,9
Cabrália Paulista,5
Cabreúva,93
Caçapava,302
Cachoeira Paulista,42
Caconde,24
Cafelândia,18
Caiabu,2
Caieiras,302
Caiuá,1
Cajamar,532
Cajati,74
Cajobi,13
Cajuru,38
Campina do Monte Alegre,9
Campinas,9071
Campo Limpo Paulista,290
Campos do Jordão,192
Campos Novos Paulista,10
Cananéia,40
Canas,11
Cândido Mota,46
Canitar,8
Capão Bonito,105
Capela do Alto,31
Capivari,85
Caraguatatuba,719
Carapicuíba,2684
Cardoso,17
Casa Branca,48
Cássia dos Coqueiros,1
Castilho,29
Catanduva,224
Catiguá,6
Cedral,31
Cerqueira César,35
Cerquilho,89
Cesário Lange,23
Charqueada,24
Chavantes,20
Clementina,15
Colina,25
Colômbia,16
Conchal,57
Conchas,29
Cordeirópolis,52
Coroados,7
Coronel Macedo,4
Corumbataí,6
Cosmópolis,174
Cosmorama,8
Cotia,1503
Cravinhos,70
Cristais Paulista,24
Cruzália,2
Cruzeiro,201
Cubatão,578
Cunha,14
Descalvado,62
Diadema,4390
Dirce Reis,1
Divinolândia,9
Dobrada,6
Dois Córregos,44
Dolcinópolis,1
Dourado,13
Dracena,91
Duartina,13
Dumont,16
Echaporã,5
Eldorado,12
Elias Fausto,28
Elisiário,2
Embaúba,1
Embu das Artes,1693
Embu-Guaçu,268
Engenheiro Coelho,29
Espírito Santo do Turvo,2
Espírito Santo do Pinhal,68
Estiva Gerbi,21
Estrela d'Oeste,20
Estrela do Norte,2
Euclides da Cunha Paulista,5
Fartura,48
Fernando Prestes,7
Fernandópolis,162
Fernão,2
Ferraz de Vasconcelos,1560
Floreal,1
Flórida Paulista,7
Florínea,6
Franca,1261
Francisco Morato,866
Franco da Rocha,541
Gália,8
Garça,84
Gastão Vidigal,3
Gavião Peixoto,12
General Salgado,15
Getulina,10
Glicério,17
Guaiçara,18
Guaimbê,9
Guaíra,61
Guapiaçu,28
Guapiara,9
Guará,58
Guaraçaí,9
Guaraci,17
Guarantã,7
Guararapes,41
Guararema,94
Guaratinguetá,309
Guareí,12
Guariba,99
Guarujá,2714
Guarulhos,8829
Guatapará,14
Guzolândia,5
Herculândia,5
Holambra,20
Hortolândia,1336
Iacanga,22
Iacri,6
Iaras,4
Ibaté,51
Ibirá,17
Ibirarema,11
Ibitinga,176
Ibiúna,193
Icém,11
Iepê,10
Igaraçu do Tietê,51
Igarapava,59
Igaratá,35
Iguape,81
Ilha Comprida,96
Ilha Solteira,82
Ilhabela,183
Indaiatuba,744
Indiana,5
Indiaporã,5
Inúbia Paulista,2
Ipaussu,11
Iperó,72
Ipeúna,13
Ipiguá,9
Iporanga,6
Ipuã,35
Iracemápolis,39
Irapuã,5
Irapuru,4
Itaberá,16
Itaí,18
Itajobi,11
Itaju,5
Itanhaém,957
Itaoca,2
Itapecerica da Serra,1420
Itapetininga,447
Itapeva,168
Itapevi,1129
Itapira,132
Itapirapuã Paulista,2
Itápolis,60
Itaporanga,11
Itapuí,25
Itapura,4
Itaquaquecetuba,2753
Itararé,118
Itariri,33
Itatiba,284
Itatinga,33
Itirapina,33
Itirapuã,6
Itobi,3
Itu,1265
Itupeva,178
Ituverava,52
Jaborandi,10
Jaboticabal,268
Jacareí,782
Jaci,11
Jacupiranga,25
Jaguariúna,363
Jales,90
Jambeiro,10
Jandira,451
Jardinópolis,118
